what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1236068970074
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1236068970199
stopped,bundle,org.eclipse.help.webapp,3.3.101.M20080805_34x,org.eclipse.help.webapp,1236068970621
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.0.v20080427-0830,org.eclipse.equinox.jsp.jasper.registry,1236068970621
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.100.v20080427-0830,org.eclipse.equinox.jsp.jasper,1236068970653
stopped,bundle,org.eclipse.emf.compare.ui,0.8.1.v200902100450,org.eclipse.emf.compare.ui,1236068970653
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.editor.ui,1236068970653
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.ui,1236068970653
stopped,bundle,org.eclipse.emf.search.codegen,0.7.0.v200806130939,org.eclipse.emf.search.codegen,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.8.0.v200809231457,org.eclipse.uml2.diagram.codegen.edit,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.8.0.v200809231457,org.eclipse.uml2.diagram.codegen,1236068970653
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1236068970653
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1236068970653
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1236068970653
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ui,1236068970653
stopped,bundle,org.openarchitectureware.recipe,4.3.1.20090107-2000PRD,org.openarchitectureware.recipe,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.clazz.search,0.7.0.v200806130939,org.eclipse.uml2.diagram.clazz.search,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.clazz,0.8.1.v200809231457,org.eclipse.uml2.diagram.clazz,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.usecase,0.8.1.v200809231457,org.eclipse.uml2.diagram.usecase,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.component,0.8.1.v200809231457,org.eclipse.uml2.diagram.component,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.deploy,0.8.1.v200809231457,org.eclipse.uml2.diagram.deploy,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.statemachine,0.8.1.v200809231457,org.eclipse.uml2.diagram.statemachine,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.csd,0.8.1.v200809231457,org.eclipse.uml2.diagram.csd,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.profile,0.8.1.v200809231457,org.eclipse.uml2.diagram.profile,1236068970653
stopped,bundle,org.eclipse.uml2.diagram.activity,0.8.1.v200809231457,org.eclipse.uml2.diagram.activity,1236068970653
