what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1236010062500
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1236010062500
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1236010062500
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.help.ui,1236010062500
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.bugs,1236010062500
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1236010062500
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1236010062500
stopped,bundle,org.eclipse.emf.compare.ui,0.8.1.v200902100450,org.eclipse.emf.compare.ui,1236010062500
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1236010062515
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1236010062515
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1236010062515
stopped,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1236010062547
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.8.0.v200806130600,org.eclipse.emf.ecoretools.diagram,1236010062547
stopped,bundle,org.eclipse.gmf.ecore.editor,2.0.100.v20080610-1132,org.eclipse.gmf.ecore.editor,1236010062547
stopped,bundle,org.eclipse.uml2.diagram.activity,0.8.1.v200809231457,org.eclipse.uml2.diagram.activity,1236010062547
stopped,bundle,org.eclipse.uml2.diagram.clazz,0.8.1.v200809231457,org.eclipse.uml2.diagram.clazz,1236010062547
stopped,bundle,org.eclipse.uml2.diagram.component,0.8.1.v200809231457,org.eclipse.uml2.diagram.component,1236010062547
stopped,bundle,org.eclipse.uml2.diagram.csd,0.8.1.v200809231457,org.eclipse.uml2.diagram.csd,1236010062547
stopped,bundle,org.eclipse.uml2.diagram.deploy,0.8.1.v200809231457,org.eclipse.uml2.diagram.deploy,1236010062547
stopped,bundle,org.eclipse.uml2.diagram.profile,0.8.1.v200809231457,org.eclipse.uml2.diagram.profile,1236010062547
stopped,bundle,org.eclipse.uml2.diagram.statemachine,0.8.1.v200809231457,org.eclipse.uml2.diagram.statemachine,1236010062547
stopped,bundle,org.eclipse.uml2.diagram.usecase,0.8.1.v200809231457,org.eclipse.uml2.diagram.usecase,1236010062547
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.1.3.v20090122-1525,org.eclipse.gmf.runtime.diagram.ui.render,1236010062547
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.1.2.v20080916-2008,org.eclipse.gmf.runtime.diagram.ui.printing.render,1236010062547
stopped,bundle,org.eclipse.m2m.qvt.oml.runtime.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.runtime.ui,1236010062547
